TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
193,CUST4679,ACC94203,Current,Transfer,Savings Account,Firm C,North,Manager 2,06-10-2023,19994.11055,127869.65,0.48,606.00,192.00
194,CUST3041,ACC17688,Credit,Payment,Savings Account,Firm E,Central,Manager 4,22-10-2023,19249.86135,53530.16,0.51,673.00,101.00
195,CUST7120,ACC42710,Current,Transfer,Mutual Fund,Firm B,North,Manager 4,22-03-2024,113961.3733,90617.08,-0.04,338.00,203.00
196,CUST3109,ACC18057,Savings,Withdrawal,Credit Card,Firm B,Central,Manager 3,03-08-2023,26690.67358,108654.95,0.34,405.00,10.00
197,CUST9731,ACC30852,Current,Withdrawal,Personal Loan,Firm C,East,Manager 4,19-06-2023,68715.79918,83637.99,0.25,334.00,11.00
198,CUST8765,ACC99549,Savings,Deposit,Credit Card,Firm B,West,Manager 2,18-03-2023,2521.84752,91557.36,0.34,747.00,110.00
199,CUST7388,ACC72197,Current,Payment,Home Loan,Firm B,West,Manager 2,19-07-2023,55395.08864,96832.92,0.71,787.00,117.00
200,CUST1962,ACC71388,Credit,Transfer,Mutual Fund,Firm B,East,Manager 3,18-06-2023,42952.7079,73859.02,0.77,369.00,65.00
201,CUST7028,ACC51009,Credit,Deposit,Mutual Fund,Firm C,East,Manager 1,30-12-2023,34175.83602,18783.13,0.19,350.00,147.00
202,CUST6735,ACC28305,Loan,Withdrawal,Savings Account,Firm C,West,Manager 1,26-03-2023,-739.3925648,51949.38,0.39,645.00,16.00
203,CUST8250,ACC77533,Credit,Transfer,Credit Card,Firm E,Central,Manager 2,22-05-2024,69245.74015,128457.14,-0.33,737.00,153.00
204,CUST7730,ACC81631,Current,Transfer,Savings Account,Firm B,West,Manager 4,21-10-2023,81629.21747,78604.79,0.58,358.00,182.00
205,CUST2349,ACC38559,Savings,Payment,Savings Account,Firm C,South,Manager 3,22-03-2024,-10403.55494,54213.31,0.75,626.00,76.00
206,CUST6947,ACC64393,Current,Payment,Mutual Fund,Firm E,Central,Manager 1,14-03-2024,55051.87143,95668.29,0.19,328.00,26.00
207,CUST3131,ACC64785,Loan,Transfer,Savings Account,Firm C,East,Manager 2,03-01-2024,60193.6865,73045.44,0.32,423.00,156.00
208,CUST7395,ACC99409,Loan,Withdrawal,Home Loan,Firm A,West,Manager 4,12-10-2023,97158.08018,54295.88,0.47,720.00,135.00
209,CUST5610,ACC29007,Loan,Transfer,Home Loan,Firm E,West,Manager 1,06-10-2023,28330.10269,63072.72,0.54,549.00,129.00
210,CUST1749,ACC99117,Current,Payment,Personal Loan,Firm E,West,Manager 4,29-11-2023,-24819.84559,101124.98,0.97,628.00,202.00
211,CUST6038,ACC57516,Credit,Transfer,Credit Card,Firm D,South,Manager 2,03-05-2024,103529.0563,107158.80,0.45,754.00,150.00
212,CUST1497,ACC88074,Current,Transfer,Mutual Fund,Firm B,East,Manager 3,03-05-2024,-45352.95439,96125.56,-0.20,668.00,36.00
213,CUST9216,ACC45951,Savings,Deposit,Savings Account,Firm D,South,Manager 2,21-11-2023,45094.6069,60020.30,0.41,734.00,39.00
214,CUST5916,ACC94907,Loan,Withdrawal,Credit Card,Firm E,North,Manager 4,21-03-2024,52454.57463,40431.59,0.04,713.00,111.00
215,CUST2349,ACC16664,Savings,Withdrawal,Mutual Fund,Firm E,South,Manager 2,11-07-2023,75653.2857,100134.40,0.42,529.00,220.00
216,CUST1749,ACC24880,Credit,Withdrawal,Savings Account,Firm C,Central,Manager 3,15-05-2024,61034.46765,35846.56,0.39,476.00,68.00
217,CUST2067,ACC45907,Loan,Deposit,Credit Card,Firm C,North,Manager 2,14-07-2023,8346.938554,63182.03,0.29,414.00,33.00
218,CUST5545,ACC26973,Current,Transfer,Personal Loan,Firm B,Central,Manager 4,16-06-2024,71625.996,95513.01,0.78,562.00,20.00
219,CUST3131,ACC29356,Loan,Deposit,Credit Card,Firm A,South,Manager 1,18-08-2023,61218.30248,33466.40,0.19,480.00,89.00
220,CUST5574,ACC77773,Current,Payment,Savings Account,Firm E,Central,Manager 1,25-07-2023,48759.097,56796.94,0.58,695.00,221.00
221,CUST1189,ACC78581,Credit,Transfer,Savings Account,Firm D,North,Manager 2,01-09-2023,25921.35123,72078.33,0.26,611.00,34.00
222,CUST3762,ACC77533,Loan,Payment,Personal Loan,Firm A,South,Manager 3,26-10-2023,69151.68817,67674.78,0.23,755.00,56.00
223,CUST5253,ACC61926,Current,Withdrawal,Credit Card,Firm C,South,Manager 3,14-07-2023,58021.63324,43922.37,0.38,327.00,121.00
224,CUST6038,ACC83269,Loan,Withdrawal,Savings Account,Firm C,North,Manager 2,02-05-2024,43845.86062,65073.93,0.78,547.00,116.00
225,CUST8344,ACC33287,Credit,Withdrawal,Credit Card,Firm A,West,Manager 4,06-06-2023,41495.61915,183836.93,0.40,710.00,7.00
226,CUST3378,ACC57597,Current,Deposit,Home Loan,Firm C,South,Manager 3,04-03-2023,52144.2015,54847.99,0.48,553.00,68.00
227,CUST6525,ACC97411,Credit,Deposit,Savings Account,Firm D,West,Manager 1,03-05-2024,46531.83478,83133.97,0.68,837.00,224.00
228,CUST9754,ACC21878,Credit,Withdrawal,Personal Loan,Firm B,Central,Manager 4,17-08-2023,25009.13183,56724.46,0.45,355.00,177.00
229,CUST2626,ACC39500,Loan,Deposit,Savings Account,Firm E,South,Manager 4,01-04-2024,86403.74607,72031.83,0.40,692.00,57.00
230,CUST4258,ACC21429,Savings,Transfer,Mutual Fund,Firm C,Central,Manager 4,24-09-2023,58988.15624,68573.35,0.69,473.00,175.00
231,CUST1768,ACC49180,Savings,Withdrawal,Savings Account,Firm E,South,Manager 2,03-02-2024,37023.53295,91832.49,0.88,306.00,125.00
232,CUST9439,ACC50817,Credit,Transfer,Home Loan,Firm C,West,Manager 2,22-06-2024,30400.20799,72838.62,0.49,787.00,126.00
233,CUST6292,ACC72197,Loan,Withdrawal,Personal Loan,Firm A,West,Manager 2,03-02-2024,41245.47749,68121.92,0.85,782.00,128.00
234,CUST5545,ACC15671,Credit,Payment,Credit Card,Firm A,East,Manager 3,13-09-2023,110061.1202,22831.02,1.05,827.00,87.00
235,CUST7459,ACC94242,Credit,Payment,Credit Card,Firm C,East,Manager 3,08-04-2023,30480.80687,109343.11,0.61,630.00,22.00
236,CUST4763,ACC40952,Savings,Deposit,Savings Account,Firm A,North,Manager 2,18-02-2024,64380.25575,104144.89,0.84,736.00,94.00
237,CUST6292,ACC94242,Savings,Transfer,Personal Loan,Firm B,East,Manager 1,23-02-2023,61018.04961,34656.53,0.55,558.00,170.00
238,CUST5500,ACC45101,Current,Withdrawal,Credit Card,Firm E,West,Manager 3,14-04-2023,19179.48066,91334.87,0.41,496.00,209.00
239,CUST1498,ACC22036,Credit,Deposit,Home Loan,Firm B,East,Manager 3,24-11-2023,58863.70035,126862.25,0.46,600.00,64.00
240,CUST6735,ACC80131,Loan,Deposit,Credit Card,Firm C,East,Manager 3,17-07-2023,18774.68702,50188.47,0.57,567.00,234.00
241,CUST4884,ACC34821,Credit,Withdrawal,Savings Account,Firm B,Central,Manager 4,19-10-2023,44762.41984,87793.42,0.31,724.00,6.00
242,CUST2842,ACC64022,Savings,Payment,Credit Card,Firm B,West,Manager 3,23-08-2023,70150.74275,33394.31,0.15,361.00,190.00
243,CUST8344,ACC17688,Loan,Deposit,Mutual Fund,Firm D,South,Manager 3,06-10-2023,48549.00297,45089.22,0.46,442.00,229.00
244,CUST4884,ACC32627,Savings,Withdrawal,Home Loan,Firm D,East,Manager 3,03-01-2024,29331.76807,93366.88,0.32,660.00,146.00
245,CUST5320,ACC57597,Savings,Transfer,Savings Account,Firm B,North,Manager 3,02-05-2023,109048.0835,22530.71,0.59,481.00,209.00
246,CUST7730,ACC55331,Credit,Payment,Home Loan,Firm E,North,Manager 4,17-02-2023,116048.6266,94734.89,0.53,676.00,110.00
247,CUST5609,ACC29231,Savings,Payment,Home Loan,Firm E,Central,Manager 2,05-02-2024,58477.09911,85939.36,0.11,631.00,53.00
248,CUST6837,ACC32627,Loan,Payment,Credit Card,Firm B,South,Manager 2,13-02-2024,74404.06634,89433.79,0.92,847.00,205.00
249,CUST3041,ACC15359,Current,Deposit,Personal Loan,Firm C,North,Manager 3,02-08-2024,55553.11654,76619.15,0.55,831.00,16.00
250,CUST4373,ACC10996,Credit,Deposit,Savings Account,Firm B,South,Manager 1,07-01-2023,81608.80093,67810.12,0.51,694.00,103.00
251,CUST1121,ACC95774,Savings,Payment,Mutual Fund,Firm E,East,Manager 2,25-11-2023,48329.69573,73060.90,0.41,681.00,239.00
252,CUST1644,ACC25132,Loan,Payment,Personal Loan,Firm E,South,Manager 4,05-03-2023,58653.33919,109351.65,0.27,539.00,184.00
253,CUST2805,ACC65545,Credit,Transfer,Personal Loan,Firm B,North,Manager 2,13-02-2024,42525.62472,91348.53,0.59,417.00,45.00
254,CUST2357,ACC97225,Credit,Deposit,Mutual Fund,Firm A,East,Manager 3,02-04-2023,81537.99377,85952.52,1.15,578.00,124.00
255,CUST3602,ACC31539,Credit,Transfer,Home Loan,Firm B,West,Manager 3,16-08-2023,60817.62924,54228.61,0.35,780.00,64.00
256,CUST2612,ACC29477,Savings,Withdrawal,Savings Account,Firm E,West,Manager 2,02-04-2024,-6611.972573,66844.58,0.29,746.00,122.00
257,CUST6210,ACC51200,Current,Deposit,Mutual Fund,Firm C,East,Manager 3,17-04-2023,48584.88788,54837.67,0.38,604.00,82.00
258,CUST6391,ACC26940,Current,Payment,Home Loan,Firm A,South,Manager 4,16-03-2023,-25964.94612,94822.30,0.64,315.00,209.00
259,CUST6525,ACC87602,Loan,Deposit,Home Loan,Firm C,Central,Manager 2,25-07-2023,42861.34782,102611.78,0.73,321.00,26.00
260,CUST2457,ACC49422,Savings,Transfer,Personal Loan,Firm A,Central,Manager 4,21-03-2024,119847.885,27825.99,0.34,521.00,168.00
261,CUST9731,ACC38559,Credit,Withdrawal,Home Loan,Firm D,West,Manager 4,19-09-2023,22231.95786,114384.31,0.54,818.00,143.00
262,CUST2541,ACC69323,Loan,Transfer,Home Loan,Firm A,Central,Manager 4,19-06-2023,42177.8574,108832.32,0.63,744.00,53.00
263,CUST7395,ACC19178,Loan,Withdrawal,Credit Card,Firm D,Central,Manager 1,21-02-2024,38054.47923,78377.86,0.19,631.00,147.00
264,CUST9535,ACC97411,Savings,Transfer,Mutual Fund,Firm D,West,Manager 1,02-05-2023,66911.13337,17836.87,0.70,490.00,26.00
265,CUST4679,ACC15228,Current,Withdrawal,Mutual Fund,Firm A,East,Manager 3,14-04-2023,31941.48488,52956.61,0.43,511.00,71.00
266,CUST9666,ACC49140,Current,Withdrawal,Personal Loan,Firm C,South,Manager 3,23-08-2023,-10422.03511,65497.41,0.30,575.00,138.00
267,CUST6082,ACC26973,Current,Withdrawal,Credit Card,Firm B,East,Manager 2,24-09-2023,77372.11748,68437.86,0.55,707.00,111.00
268,CUST2541,ACC45101,Savings,Withdrawal,Credit Card,Firm C,West,Manager 2,01-04-2024,22022.26788,87234.85,0.94,553.00,162.00
269,CUST7120,ACC15228,Savings,Withdrawal,Personal Loan,Firm A,North,Manager 2,11-07-2023,50510.74966,20535.71,0.53,315.00,62.00
270,CUST3609,ACC29007,Loan,Payment,Mutual Fund,Firm A,North,Manager 3,13-02-2024,49643.03412,159321.43,0.59,799.00,119.00
271,CUST8266,ACC88074,Savings,Payment,Credit Card,Firm C,East,Manager 2,05-04-2023,85829.02215,70145.22,0.53,326.00,187.00
272,CUST7255,ACC29646,Savings,Payment,Savings Account,Firm D,South,Manager 2,17-01-2024,84765.54416,116512.08,0.13,809.00,181.00
273,CUST8344,ACC40939,Savings,Transfer,Savings Account,Firm B,East,Manager 1,11-07-2023,46632.88907,91900.49,0.86,390.00,28.00
274,CUST6837,ACC77773,Loan,Transfer,Mutual Fund,Firm A,East,Manager 3,17-12-2023,33243.89202,102909.39,0.53,529.00,224.00
275,CUST8279,ACC45907,Savings,Withdrawal,Savings Account,Firm D,North,Manager 4,26-05-2023,125896.5173,26843.02,0.19,515.00,206.00
276,CUST8772,ACC30852,Credit,Withdrawal,Mutual Fund,Firm D,East,Manager 3,08-04-2023,29058.64549,96421.67,0.32,483.00,29.00
277,CUST8765,ACC42903,Loan,Deposit,Mutual Fund,Firm B,East,Manager 1,10-04-2023,90395.10944,47248.11,0.89,644.00,219.00
278,CUST5894,ACC86784,Current,Withdrawal,Home Loan,Firm B,South,Manager 1,15-01-2023,83986.25706,18180.03,0.92,722.00,80.00
279,CUST8765,ACC32212,Credit,Transfer,Home Loan,Firm A,North,Manager 4,15-05-2023,83277.04235,47811.63,0.99,333.00,215.00
280,CUST4373,ACC57597,Loan,Transfer,Mutual Fund,Firm D,East,Manager 4,19-11-2023,56152.52527,64122.81,0.64,525.00,153.00
281,CUST5351,ACC12182,Savings,Transfer,Savings Account,Firm E,North,Manager 4,06-10-2023,48435.9967,132799.23,0.17,552.00,23.00
282,CUST1189,ACC32627,Loan,Deposit,Credit Card,Firm B,East,Manager 1,26-10-2023,47113.79711,74224.31,0.52,496.00,193.00
283,CUST4794,ACC34431,Loan,Payment,Savings Account,Firm C,North,Manager 1,20-01-2024,67106.29465,54852.59,0.60,774.00,163.00
284,CUST1913,ACC33287,Current,Transfer,Personal Loan,Firm B,East,Manager 4,08-11-2023,104219.3432,67057.55,0.49,513.00,63.00
285,CUST5664,ACC55331,Credit,Transfer,Savings Account,Firm A,South,Manager 4,23-02-2023,-905.4615242,93171.67,0.21,849.00,178.00
286,CUST1223,ACC29231,Current,Transfer,Savings Account,Firm C,East,Manager 4,21-01-2023,72663.75126,111239.97,0.30,669.00,171.00
287,CUST8660,ACC45968,Savings,Deposit,Savings Account,Firm B,East,Manager 3,30-01-2023,44863.3014,37896.36,0.43,384.00,47.00
288,CUST3778,ACC88252,Current,Withdrawal,Home Loan,Firm C,Central,Manager 3,20-11-2023,18936.48795,68246.80,0.53,826.00,27.00
289,CUST9038,ACC70460,Credit,Payment,Personal Loan,Firm E,North,Manager 2,13-01-2023,106632.5745,91606.65,0.65,774.00,190.00
290,CUST6319,ACC83581,Credit,Withdrawal,Personal Loan,Firm D,South,Manager 4,15-04-2024,23416.19231,125411.39,0.84,695.00,33.00
291,CUST4763,ACC60432,Savings,Transfer,Mutual Fund,Firm A,North,Manager 4,03-06-2023,51599.86914,71368.06,0.74,565.00,80.00
292,CUST2349,ACC61827,Credit,Payment,Home Loan,Firm B,South,Manager 2,27-05-2024,33306.53184,11724.52,0.67,437.00,156.00
293,CUST7887,ACC11285,Loan,Withdrawal,Savings Account,Firm B,North,Manager 4,06-08-2024,84119.8765,77599.99,-0.33,558.00,17.00
294,CUST9564,ACC21878,Current,Deposit,Personal Loan,Firm E,North,Manager 4,15-04-2024,57734.38952,117544.20,0.40,553.00,193.00
295,CUST2915,ACC80442,Credit,Deposit,Savings Account,Firm B,North,Manager 1,19-07-2023,17241.21455,65006.68,0.84,426.00,230.00
296,CUST2578,ACC64785,Credit,Transfer,Home Loan,Firm C,South,Manager 3,19-06-2023,42802.68233,85417.44,0.55,612.00,109.00
297,CUST1644,ACC62446,Loan,Transfer,Savings Account,Firm A,West,Manager 3,07-05-2023,1792.638502,160065.35,-0.21,733.00,209.00
298,CUST1467,ACC42710,Credit,Transfer,Savings Account,Firm C,Central,Manager 1,03-05-2024,100163.1302,75255.03,0.37,698.00,114.00
299,CUST7173,ACC86784,Credit,Transfer,Credit Card,Firm C,East,Manager 2,17-12-2023,94682.42154,58905.59,0.15,836.00,121.00
300,CUST7395,ACC67701,Current,Transfer,Home Loan,Firm E,West,Manager 1,15-05-2024,6808.22606,142300.05,0.63,699.00,14.00
301,CUST7028,ACC45907,Savings,Withdrawal,Personal Loan,Firm A,North,Manager 4,18-10-2023,59026.9244,87110.55,0.09,815.00,190.00
302,CUST4884,ACC29356,Current,Deposit,Credit Card,Firm C,South,Manager 2,16-04-2024,35748.19286,87699.70,0.53,445.00,18.00
303,CUST5664,ACC21264,Credit,Payment,Savings Account,Firm D,West,Manager 3,18-06-2023,26566.33061,29049.40,0.40,579.00,172.00
304,CUST4258,ACC28295,Loan,Payment,Home Loan,Firm C,South,Manager 1,04-11-2023,22142.75544,68873.05,0.60,575.00,142.00
305,CUST5574,ACC89098,Current,Withdrawal,Savings Account,Firm D,North,Manager 1,22-10-2023,-6892.749584,71282.76,0.14,818.00,200.00
306,CUST1223,ACC51009,Credit,Payment,Mutual Fund,Firm D,East,Manager 1,30-03-2024,78691.7008,63415.25,0.23,347.00,46.00
307,CUST9528,ACC58078,Savings,Payment,Credit Card,Firm B,North,Manager 4,22-06-2024,43329.95027,98753.52,0.47,846.00,158.00
308,CUST1747,ACC94242,Credit,Deposit,Home Loan,Firm D,South,Manager 4,07-01-2023,54945.6746,35762.60,0.65,784.00,209.00
309,CUST4669,ACC49140,Savings,Withdrawal,Savings Account,Firm A,South,Manager 3,17-07-2023,8701.54469,95446.25,0.45,704.00,104.00
310,CUST5385,ACC95164,Current,Deposit,Home Loan,Firm D,West,Manager 1,18-03-2023,69990.72241,67861.06,0.45,401.00,88.00
311,CUST4780,ACC24070,Current,Deposit,Home Loan,Firm D,East,Manager 3,30-09-2023,34924.07278,89125.64,0.74,788.00,43.00
312,CUST4763,ACC75675,Loan,Payment,Mutual Fund,Firm C,East,Manager 1,03-06-2023,28422.89166,83680.00,0.55,822.00,189.00
313,CUST3602,ACC83848,Savings,Payment,Credit Card,Firm C,Central,Manager 4,14-03-2024,22934.37608,52245.67,0.86,308.00,75.00
314,CUST8772,ACC70741,Savings,Deposit,Savings Account,Firm A,Central,Manager 2,09-11-2023,57096.8969,77601.18,0.44,546.00,88.00
315,CUST5105,ACC64022,Credit,Payment,Savings Account,Firm C,Central,Manager 3,06-06-2023,32789.18651,127694.52,0.65,771.00,138.00
316,CUST5574,ACC29007,Current,Withdrawal,Savings Account,Firm A,East,Manager 1,24-05-2024,80884.33957,77522.67,0.62,645.00,184.00
317,CUST1962,ACC42903,Current,Payment,Savings Account,Firm D,South,Manager 1,23-02-2023,73093.22065,35658.34,0.54,522.00,236.00
318,CUST8416,ACC15228,Savings,Transfer,Savings Account,Firm A,South,Manager 4,12-09-2023,57066.02348,53228.74,0.86,843.00,106.00
319,CUST5174,ACC82381,Credit,Transfer,Credit Card,Firm B,East,Manager 1,11-08-2023,57193.9789,60485.16,0.72,821.00,11.00
320,CUST6391,ACC77773,Savings,Transfer,Home Loan,Firm A,West,Manager 4,17-06-2023,16981.22179,71351.03,0.69,572.00,157.00
321,CUST7493,ACC88286,Current,Transfer,Personal Loan,Firm A,East,Manager 3,15-05-2023,21331.63512,38679.07,0.30,616.00,144.00
322,CUST1415,ACC92558,Loan,Deposit,Credit Card,Firm E,South,Manager 2,02-09-2024,75970.05849,78412.85,0.29,602.00,92.00
323,CUST6330,ACC23985,Savings,Transfer,Credit Card,Firm A,North,Manager 1,01-06-2023,46701.83205,114126.29,0.24,323.00,20.00
324,CUST8266,ACC67701,Savings,Withdrawal,Savings Account,Firm B,West,Manager 3,21-02-2023,90149.40097,57872.86,-0.05,454.00,110.00
325,CUST1042,ACC71426,Savings,Deposit,Savings Account,Firm B,West,Manager 1,03-06-2023,74553.1927,56412.94,0.77,652.00,94.00
326,CUST3153,ACC90887,Savings,Deposit,Personal Loan,Firm D,West,Manager 2,30-04-2023,-14799.65488,20517.31,0.43,732.00,128.00
327,CUST6038,ACC51593,Loan,Transfer,Savings Account,Firm D,Central,Manager 4,13-03-2023,28910.04358,69506.44,0.28,846.00,124.00
328,CUST7855,ACC95164,Savings,Payment,Home Loan,Firm C,North,Manager 3,26-10-2023,143067.1846,73627.79,0.75,582.00,226.00
329,CUST9528,ACC55331,Current,Transfer,Mutual Fund,Firm A,East,Manager 1,17-02-2024,38438.66173,70934.77,0.39,402.00,58.00
330,CUST7730,ACC94203,Loan,Payment,Home Loan,Firm A,West,Manager 2,21-02-2023,38757.88832,46073.83,0.51,780.00,100.00
331,CUST9439,ACC32212,Loan,Payment,Savings Account,Firm A,South,Manager 4,04-01-2024,73928.53843,48320.94,0.21,736.00,7.00
332,CUST5916,ACC32212,Savings,Payment,Credit Card,Firm A,East,Manager 4,02-12-2023,17342.81424,61763.63,0.49,697.00,69.00
333,CUST9420,ACC51009,Credit,Deposit,Home Loan,Firm D,East,Manager 2,22-10-2023,-4203.406975,31428.45,0.33,733.00,187.00
334,CUST7887,ACC22036,Credit,Deposit,Home Loan,Firm B,South,Manager 4,06-01-2023,122692.225,133586.18,0.15,528.00,112.00
335,CUST4763,ACC36079,Current,Payment,Savings Account,Firm E,East,Manager 2,22-10-2023,62330.10207,55407.69,0.33,425.00,167.00
336,CUST6837,ACC55729,Credit,Deposit,Credit Card,Firm C,North,Manager 2,23-10-2023,47653.86702,73822.22,-0.14,823.00,6.00
337,CUST9439,ACC11188,Current,Withdrawal,Personal Loan,Firm D,North,Manager 2,03-07-2023,15907.05584,44198.84,0.64,388.00,174.00
338,CUST7793,ACC97411,Loan,Payment,Personal Loan,Firm E,Central,Manager 4,17-11-2023,37474.39563,45887.19,0.58,504.00,101.00
339,CUST8765,ACC29231,Credit,Transfer,Credit Card,Firm E,East,Manager 2,03-10-2023,71871.9879,31739.18,-0.03,433.00,65.00
340,CUST8529,ACC49395,Current,Withdrawal,Savings Account,Firm B,South,Manager 4,21-12-2023,86721.05521,42332.65,0.34,808.00,133.00
341,CUST3602,ACC25132,Savings,Deposit,Personal Loan,Firm C,Central,Manager 2,18-03-2023,57908.33009,125378.97,0.29,445.00,70.00
342,CUST7855,ACC45907,Credit,Deposit,Mutual Fund,Firm E,South,Manager 3,18-03-2023,104226.6787,12678.53,0.50,316.00,98.00
343,CUST1888,ACC45951,Credit,Transfer,Home Loan,Firm A,East,Manager 1,05-04-2024,48085.29063,71615.91,0.51,468.00,40.00
344,CUST2349,ACC82298,Current,Withdrawal,Mutual Fund,Firm C,North,Manager 3,03-10-2023,72766.65551,97427.76,0.54,593.00,25.00
345,CUST8461,ACC30787,Credit,Deposit,Home Loan,Firm B,East,Manager 1,19-06-2023,28228.01623,73751.89,0.31,809.00,68.00
346,CUST5320,ACC35163,Savings,Withdrawal,Personal Loan,Firm B,Central,Manager 2,25-07-2023,66183.88958,58880.85,0.51,474.00,235.00
347,CUST6549,ACC95164,Current,Payment,Home Loan,Firm E,South,Manager 3,04-01-2024,31539.43469,57976.92,0.40,463.00,96.00
348,CUST3109,ACC69323,Current,Withdrawal,Savings Account,Firm B,East,Manager 3,29-05-2023,60998.49981,81456.37,0.05,727.00,89.00
349,CUST1042,ACC32890,Loan,Withdrawal,Mutual Fund,Firm B,Central,Manager 3,02-05-2024,57805.76192,93264.47,0.10,569.00,107.00
350,CUST9564,ACC32627,Loan,Transfer,Home Loan,Firm D,East,Manager 2,25-04-2024,59329.27707,142287.90,0.39,844.00,39.00
351,CUST6350,ACC36079,Loan,Transfer,Savings Account,Firm D,South,Manager 4,23-02-2023,31584.71374,62741.43,0.20,555.00,185.00
352,CUST8266,ACC28612,Savings,Payment,Mutual Fund,Firm D,North,Manager 1,30-04-2023,21116.34879,164902.94,0.91,531.00,90.00
353,CUST4780,ACC58667,Loan,Transfer,Savings Account,Firm A,North,Manager 3,17-02-2024,36722.43362,27373.46,0.64,386.00,85.00
354,CUST1223,ACC60432,Loan,Payment,Personal Loan,Firm A,Central,Manager 2,01-08-2024,26179.16713,85388.45,0.50,561.00,59.00
355,CUST3131,ACC99549,Credit,Payment,Personal Loan,Firm A,Central,Manager 1,25-11-2023,85584.77055,103399.06,0.23,767.00,100.00
356,CUST1776,ACC23985,Loan,Deposit,Home Loan,Firm E,West,Manager 4,10-04-2023,87914.11934,57261.01,0.56,848.00,211.00
357,CUST1467,ACC96277,Loan,Transfer,Personal Loan,Firm A,Central,Manager 4,25-07-2023,17561.46145,126722.16,0.54,544.00,165.00
358,CUST6210,ACC51593,Current,Withdrawal,Mutual Fund,Firm C,West,Manager 3,17-01-2023,98120.66545,101532.32,0.42,847.00,85.00
359,CUST4794,ACC94203,Loan,Payment,Home Loan,Firm C,East,Manager 4,19-09-2023,48202.09175,113122.11,0.26,306.00,48.00
360,CUST6292,ACC71426,Loan,Deposit,Mutual Fund,Firm E,West,Manager 2,08-04-2023,36122.44943,74272.92,0.37,736.00,215.00
361,CUST8390,ACC99409,Loan,Payment,Home Loan,Firm E,South,Manager 2,16-10-2023,71890.72128,11630.00,0.41,657.00,226.00
362,CUST5121,ACC51593,Loan,Transfer,Mutual Fund,Firm B,Central,Manager 1,29-11-2023,33045.16826,119274.88,0.87,312.00,157.00
363,CUST6565,ACC29646,Current,Deposit,Savings Account,Firm C,South,Manager 2,17-07-2023,61604.21352,62806.74,0.80,764.00,125.00
364,CUST8461,ACC92360,Savings,Payment,Savings Account,Firm A,North,Manager 2,02-06-2024,51582.26932,69571.18,0.45,357.00,27.00
365,CUST8028,ACC74631,Credit,Deposit,Credit Card,Firm E,South,Manager 1,29-11-2023,56770.07972,55485.23,0.41,562.00,205.00
366,CUST7028,ACC65144,Loan,Transfer,Mutual Fund,Firm B,East,Manager 2,09-11-2023,34218.85097,50750.88,0.79,531.00,33.00
367,CUST8874,ACC77773,Credit,Payment,Personal Loan,Firm D,South,Manager 1,26-09-2023,75176.25277,57862.98,0.33,676.00,221.00
368,CUST8416,ACC71426,Savings,Withdrawal,Credit Card,Firm A,Central,Manager 4,08-11-2023,37882.86349,60369.07,0.49,555.00,104.00
369,CUST1223,ACC58667,Credit,Payment,Home Loan,Firm D,North,Manager 4,30-01-2023,83531.57251,29666.77,0.97,326.00,53.00
370,CUST7002,ACC83005,Savings,Withdrawal,Home Loan,Firm E,West,Manager 4,02-10-2023,24692.30106,44428.71,0.23,510.00,74.00
371,CUST8288,ACC24508,Loan,Payment,Savings Account,Firm D,West,Manager 4,19-03-2024,95882.6453,57906.12,0.46,396.00,181.00
372,CUST9754,ACC87006,Credit,Withdrawal,Home Loan,Firm E,Central,Manager 4,31-10-2023,42903.16544,82533.44,0.46,619.00,56.00
373,CUST2349,ACC61926,Credit,Payment,Credit Card,Firm D,South,Manager 3,05-04-2023,50968.98224,44763.86,0.53,342.00,215.00
374,CUST5558,ACC32212,Credit,Transfer,Personal Loan,Firm C,West,Manager 4,05-03-2023,93871.94098,93847.42,0.53,326.00,51.00
375,CUST7098,ACC11062,Savings,Deposit,Personal Loan,Firm E,Central,Manager 3,05-11-2023,61603.77231,76772.88,0.92,376.00,29.00
376,CUST1644,ACC91723,Savings,Payment,Savings Account,Firm B,Central,Manager 2,25-11-2023,78473.96505,63323.72,0.31,636.00,209.00
377,CUST9169,ACC86784,Credit,Deposit,Personal Loan,Firm C,South,Manager 4,24-10-2023,38575.28936,55142.70,0.49,481.00,237.00
378,CUST8529,ACC28154,Credit,Withdrawal,Home Loan,Firm D,West,Manager 1,07-06-2023,41767.10419,96918.63,0.88,402.00,125.00
379,CUST7933,ACC32890,Current,Transfer,Credit Card,Firm D,East,Manager 1,10-04-2023,106522.3077,31012.22,0.70,785.00,141.00
380,CUST7028,ACC62446,Credit,Withdrawal,Home Loan,Firm E,North,Manager 4,24-11-2023,81948.29682,43711.65,0.26,524.00,18.00
381,CUST2412,ACC95774,Credit,Transfer,Mutual Fund,Firm E,Central,Manager 1,03-05-2024,85882.46281,40388.31,0.30,363.00,60.00
382,CUST1888,ACC19156,Savings,Withdrawal,Home Loan,Firm C,South,Manager 4,13-01-2023,358.4241579,91096.96,0.48,670.00,190.00
383,CUST9248,ACC53466,Loan,Deposit,Home Loan,Firm C,Central,Manager 1,28-01-2023,33712.37004,83612.32,0.22,571.00,199.00
